turn,x_m,xp_rad,y_m,yp_rad,z_m,dE_GeV,action_x,action_x_normalised
1080.0,0.00770802249913416,-0.0012208340998362951,-1.6055097266849775e-13,2.2012510023297626e-14,5.8925107799781795,-2.2293808509421865e-06,7.2081222780608655e-06,1.3136790405709373
1081.0,-0.00946060383947523,0.0007042420540154426,1.498614846151913e-13,1.2424475020486725e-14,5.8705934870253085,-2.2551512887018557e-06,7.761579842227144e-06,1.4145465860763224
1082.0,0.0022098438348092274,0.0005340849214169144,2.705894915642601e-13,-1.1669170772389902e-14,5.853749746554024,-2.280847786651791e-06,7.689031368515892e-06,1.4013246392691823
1083.0,0.0063666462120198185,-0.0012045956835510113,6.894219528200114e-14,-2.206339271268103e-14,5.831161198685784,-2.3064451265237222e-06,7.266871862811904e-06,1.324386142247693
1084.0,-0.009983175911712452,0.000908671536986017,-2.2501195064992655e-13,-5.022702359568103e-15,5.809187460829208,-2.3319460071798973e-06,7.899610104274445e-06,1.4397025775011565
1085.0,0.004085598393371822,0.0002930486170010646,-2.3563806946999685e-13,1.759463072617446e-14,5.791567334618077,-2.357369539887037e-06,7.624955298998539e-06,1.3896467866634745
1086.0,0.004763702244747666,-0.0011321323923649375,2.9992387472385384e-14,1.9286065775760003e-14,5.767769424337752,-2.3826886057175234e-06,7.251296223721296e-06,1.3215474847128303
1087.0,-0.01005030913651607,0.0010679267683993722,2.687959058429573e-13,-2.8525862257833223e-15,5.745782993721467,-2.407911156614212e-06,7.940670775934541e-06,1.4471858778213813
1088.0,0.0057163334448314404,4.726238212496962e-05,1.7775853248741908e-13,-2.139994943004959e-14,5.727245595240486,-2.433052332965919e-06,7.4821009006357e-06,1.3636115972281035
1089.0,0.002991141204827132,-0.0010112032327005813,-1.212095321570655e-13,-1.45199243367187e-14,5.702375724952784,-2.4580843368045307e-06,7.170369149967026e-06,1.3067985394945587
1090.0,-0.009698805472529706,0.0011789858759673872,-2.8077262313984683e-13,9.943160946658479e-15,5.680387721470117,-2.483019818804854e-06,7.896067091262105e-06,1.4390568639914192
1091.0,0.007053610547457991,-0.00019200868816984183,-1.0109184306861212e-13,2.2600024147144544e-14,5.660816017183056,-2.5078693859162834e-06,7.288571485565265e-06,1.3283408947476818
1092.0,0.0011419245369325964,-0.000852023787649648,1.9843280417370767e-13,8.500361512683077e-15,5.635015740178216,-2.5326056962617307e-06,7.060515255542816e-06,1.286777686203901
1093.0,-0.008989631617627607,0.0012424476427075747,2.6470410017678993e-13,-1.5757494880614173e-14,5.61300805894546,-2.557245398388487e-06,7.802001937042988e-06,1.4219135058769437
1094.0,0.008075029574990098,-0.00041536114523678586,2.18566067461136e-14,-2.1524469635871436e-14,5.592314313958265,-2.5817942601481854e-06,7.0886049766899435e-06,1.2918970330327941
1095.0,-0.0006984766435039838,-0.000665935015486424,-2.5019716813527416e-13,-2.321838865725781e-15,5.565719607591288,-2.6062263777956087e-06,6.9686291738269256e-06,1.2700314636768844
1096.0,-0.00799805416156571,0.0012618413330620895,-2.2995035979061444e-13,1.992054939343483e-14,5.543650564901648,-2.630561617862886e-06,7.702486997701699e-06,1.4037769253649508
1097.0,0.008781284205046055,-0.0006157726804275351,5.693400427238645e-14,1.905606496473836e-14,5.521778202616038,-2.6548008437278196e-06,6.925602361509426e-06,1.2621898345613354
1098.0,-0.0024582731486208027,-0.0004641048625786896,2.8634722383514476e-13,-4.144806954397505e-15,5.494512407990495,-2.678920379570796e-06,6.934236592035048e-06,1.2637634215837825
1099.0,-0.00680353664769718,0.0012426513409922642,1.8183285526798965e-13,-2.284710364786649e-14,5.472323440204838,-2.702942511392435e-06,7.633516267688433e-06,1.39120702172901
1100.0,0.009190585521180131,-0.000788677658914447,-1.2731925851323407e-13,-1.5552414580484226e-14,5.449245749658392,-2.726863337921998e-06,6.828824924864378e-06,1.2445521634430559
1101.0,-0.00408217690867844,-0.00025658202879611273,-2.9612833944978887e-13,9.645234706294196e-15,5.421415553929374,-2.7506619968498595e-06,6.978089095886842e-06,1.2717555328388868
1102.0,-0.005481890593447781,0.00119135825959516,-1.2478284590254405e-13,2.376767560711178e-14,5.399037762182023,-2.774362422866398e-06,7.614026898307679e-06,1.3876550875245406
1103.0,0.009332544377003553,-0.0009317027572339242,1.8257382578971692e-13,1.1569799020231523e-14,5.374754520450126,-2.797956251522544e-06,6.807702755414773e-06,1.2407026517079696
1104.0,-0.005531313136626676,-5.181809209302098e-05,2.896519375465587e-13,-1.3929470146928964e-14,5.346448475972968,-2.8214258237199466e-06,7.099582396168621e-06,1.2938976658373438
1105.0,-0.004100759858291402,0.0011147246715388001,6.810348735352067e-14,-2.374826422238008e-14,5.323808273502037,-2.844796011088552e-06,7.64468193774937e-06,1.3932419631696717
1106.0,0.009243272011763733,-0.0010442690556601716,-2.317146470922007e-13,-7.0885150707613766e-15,5.298341432721133,-2.8680544053928397e-06,6.853398578125468e-06,1.2490307075068279
1107.0,-0.006781575694351077,0.00014343221550670453,-2.777105558391375e-13,1.7828324805450884e-14,5.26963005499593,-2.891186763926758e-06,7.2810393851956564e-06,1.3269681707558667
1108.0,-0.002718001659090159,0.0010193915115096043,-1.0932233342181365e-14,2.282176797966386e-14,5.24665375180487,-2.9142182622337433e-06,7.712268894916079e-06,1.4055596744432597
1109.0,0.008962380631578028,-0.0011272353057744777,2.70369920765391e-13,2.668746193820111e-15,5.2200429990293165,-2.9371329459887324e-06,6.94487285844145e-06,1.2657018792998158
1110.0,-0.007821706895629688,0.0003240139272238475,2.5545629007652037e-13,-2.117812530593087e-14,5.190979541382786,-2.9599200484305173e-06,7.495258797106384e-06,1.3660096215879496
1111.0,-0.0013817386003421867,0.0009117110859364869,-4.3329713340039596e-14,-2.11739002129104e-14,5.167597067286077,-2.9826045076566364e-06,7.796502271807317e-06,1.420911192837354
1112.0,0.008531527249371763,-0.0011826493005093744,-2.9189213697370947e-13,1.6322980717334263e-15,5.139895616391049,-3.0051673644386888e-06,7.056346857035129e-06,1.2860179962956204
1113.0,-0.008651728519457981,0.00048622821157178516,-2.248487042752968e-13,2.3210608405969485e-14,5.110516982420098,-3.0276012563622675e-06,7.713244398146478e-06,1.4057374597385626
1114.0,-0.0001309399355828819,0.0007976911932252002,9.158775101984935e-14,1.9114358931798097e-14,5.086665012995092,-3.049930444103063e-06,7.876597472568159e-06,1.4355085293462104
1115.0,0.007993670209444841,-0.0012135772503388915,3.0457130768867487e-13,-5.216168494830759e-15,5.057935684737932,-3.072133517275141e-06,7.163820156607065e-06,1.3056049865855015
1116.0,-0.00928168142696881,0.0006277072262408899,1.923023133543367e-13,-2.4172073643359606e-14,5.028263330177061,-3.0942063362287858e-06,7.910227427573729e-06,1.4416375828391883
1117.0,0.0010040539626805765,0.0006829516202025705,-1.2996608470881404e-13,-1.6847961972090303e-14,5.003887945514879,-3.11617215333761e-06,7.936076343801742e-06,1.446348543358486
1118.0,0.007392315783925371,-0.0012239417272905304,-3.1077805724679096e-13,8.393553985310112e-15,4.974199510394888,-3.138007645638366e-06,7.249348429407391e-06,1.3211924995354412
1119.0,-0.009730292968093579,0.0007472996570114679,-1.645611997771772e-13,2.476353763272999e-14,4.944240422416872,-3.15971162503267e-06,8.069158906254026e-06,1.470602817386433
1120.0,0.0020010975365690703,0.0005726530135298794,1.565096326975943e-13,1.5036023361155764e-14,4.9192992535784645,-3.181306118931066e-06,7.965240353703387e-06,1.4516636791273954
1121.0,0.0067704311439865175,-0.00121831299739308,3.104724519139389e-13,-1.0164272648892744e-14,4.888723083961227,-3.2027663910888845e-06,7.302743757659643e-06,1.330923788889797
1122.0,-0.010023215375953807,0.0008449274065383135,1.4713500382042465e-13,-2.5045157513871976e-14,4.858470972634053,-3.2240938640410052e-06,8.181650053486974e-06,1.4911043095461165
1123.0,0.002845635246535479,0.00047140868202970684,-1.7040745086103264e-13,-1.4031122492892397e-14,4.832934685234331,-3.245309239075513e-06,7.961460864954007e-06,1.4509748679554142
1124.0,0.006169087739594448,-0.0012016375396260858,-3.1045186096992283e-13,1.1298645043677866e-14,4.801541872452878,-3.2663868075101128e-06,7.321091953038089e-06,1.3342677443293889
1125.0,-0.010190707912478164,0.0009213792879849612,-1.351459136283362e-13,2.5265990270145327e-14,4.770978627282108,-3.2873302109392244e-06,8.2469141762252e-06,1.5029986846461905
1126.0,0.003529647270377403,0.0003832142689575996,1.8153499070798217e-13,1.3482481942675268e-14,4.744831589261278,-3.308158835408184e-06,7.927903383454775e-06,1.4448590227464528
1127.0,0.005626109267297714,-0.001178923266788136,3.111537618439695e-13,-1.1945898484050014e-14,4.712690742268594,-3.328846369594058e-06,7.3069174001351135e-06,1.3316844345103007
1128.0,-0.01026488213979964,0.000978031781454519,1.3336328389871462e-13,-2.5406028836367145e-14,4.681788085715207,-3.349398248843326e-06,8.269577771167847e-06,1.5071291209112303
1129.0,0.0040500207692443,0.00031142819665587533,-1.7949823305495152e-13,-1.3826890509136085e-14,4.655028140234642,-3.369832658621921e-06,7.871512656259921e-06,1.4345818224520146
1130.0,0.005175003107899188,-0.0011549178347854687,-3.1502956049837107e-13,1.1651046600395188e-14,4.6222040659968116,-3.3901229789206305e-06,7.2659297282702836e-06,1.3242144383901584
1131.0,-0.010276768501314773,0.001016511902142403,-1.3999846533937672e-13,2.5063414298678595e-14,4.590925248379591,-3.410275993029705e-06,8.257245751423513e-06,1.5048816124421598
1132.0,0.004406420543819475,0.0002588162240277754,1.6756861312133496e-13,1.4151383630196161e-14,4.563562608488447,-3.4303088919903172e-06,7.801030090464798e-06,1.4217363870058746
1133.0,0.004844310444508908,-0.0011338120704191528,3.1147994298539857e-13,-1.0012362252312672e-14,4.530115996810976,-3.450194968687318e-06,7.205106046582035e-06,1.3131293329047244
1134.0,-0.010253460386674159,0.0010383325922763047,1.5677970615089534e-13,-2.432041506509294e-14,4.498417361272234,-3.4699418962989623e-06,8.218482862992525e-06,1.4978170827186883
1135.0,0.00459889021561572,0.00022764748090657006,-1.3800008789183584e-13,-1.5243200318707263e-14,4.47047271032932,-3.4895661538791304e-06,7.725563535272915e-06,1.407982620352746
1136.0,0.004657304072326992,-0.0011189817658877157,-2.971310029490023e-13,7.122179883913354e-15,4.436460841573875,-3.5090411078584293e-06,7.13153073815242e-06,1.299720245647463
1137.0,-0.010215490253150513,0.001044535380242534,-1.8429209750261682e-13,2.285455376868048e-14,4.404293148706547,-3.528374853707964e-06,8.161548647082064e-06,1.4874408316996734
