turn,n_macroparticles,intensity,epsn_x,epsn_y,eps_z,mean_x_m,mean_y_m,mean_z_m
1900.0,1000.0,1950000000.0,5.284094124890065e-07,4.4577349801426423e-07,4.946699006520374e-06,-3.882170965301571e-05,-0.00044962114710659956,-0.019869388214791853
2000.0,1000.0,1950000000.0,5.348929467337124e-07,4.460012781220574e-07,4.947434145886295e-06,-0.00026335302157030075,6.155626577234072e-05,0.03370307581166582
2100.0,1000.0,1950000000.0,5.288116240263307e-07,4.5399766592975717e-07,4.947988938080103e-06,-0.0002672843112547368,5.183980674659302e-05,0.07433499484237857
2200.0,1000.0,1950000000.0,5.300450560879794e-07,4.583182548358833e-07,4.948268307456523e-06,-4.908651635846435e-05,0.00011730010538895362,0.08648858232159419
2300.0,1000.0,1950000000.0,5.323156308305474e-07,4.6070275736913176e-07,4.948076643096947e-06,-3.5881750295695335e-05,-0.0003209224085270768,0.06564921483452202
2400.0,1000.0,1950000000.0,5.396077307477826e-07,4.5496247904415544e-07,4.9476574998716055e-06,-4.776842846289723e-05,0.00020816707302462317,0.019801039429917164
2500.0,1000.0,1950000000.0,5.409505969558614e-07,4.5021910097548627e-07,4.946553258905695e-06,-0.0001032030151999371,-0.00020199303792033647,-0.03348523341510095
2600.0,1000.0,1950000000.0,5.372810967440925e-07,4.634256260986119e-07,4.945501490486425e-06,0.00022327551512672133,0.00016239002546314065,-0.0741533402863082
2700.0,1000.0,1950000000.0,5.35539950188608e-07,4.606218082637921e-07,4.94500645808033e-06,0.00023532622707880466,-0.00017956036312961884,-0.0867887209479325
2800.0,1000.0,1950000000.0,5.396036422005602e-07,4.729318921451241e-07,4.945435423721424e-06,0.00024503487159535474,-1.070626347226272e-05,-0.06645530371929154
2900.0,1000.0,1950000000.0,5.421575415946982e-07,4.7426475341873015e-07,4.94604795939424e-06,0.00016840535845501992,-8.71067151620284e-06,-0.0210046616006021
3000.0,1000.0,1950000000.0,5.513782290438238e-07,4.7120367419001127e-07,4.946729367472383e-06,6.684137711799439e-05,0.00023865723926892707,0.03236650112736815
